# Generated: 2025-12-17T03:44:56.820Z
# Source page: https://tracinginsights.com/
# Event: Abu Dhabi Grand Prix
# Session: Race
# Year: 2024
# Notes: Values are in SI units unless specified. Missing fields are empty.
# Status legend:
#   1 = Track Clear - Normal racing conditions
#   2 = Yellow Flag - Caution period, no overtaking in affected sector
#   4 = Safety Car - All cars follow safety car
#   5 = Red Flag - Session stopped, return to pits
#   6 = Virtual Safety Car - Maintain minimum lap time
#   7 = VSC Ending - Normal racing about to resume
# Options: fuelCorrection=off, includeAllColumns=on
# Drivers: NOR
LAP,NOR_TIME,NOR_POSITION,NOR_POSITION_CHANGE,NOR_COMPOUND,NOR_STINT,NOR_PITSTOP,NOR_TIRE_LIFE,NOR_S1,NOR_S2,NOR_S3,NOR_SECTOR_SUM,NOR_STATUS,NOR_PERSONAL_BEST
Lap number in the session,Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap)
1,91.142,1,,MEDIUM,1,FALSE,1,,38.405,32.676,,12,FALSE
2,108.349,1,0,MEDIUM,1,FALSE,2,18.242,46.262,43.845,108.349,126,FALSE
3,103.313,1,0,MEDIUM,1,FALSE,3,25.352,45.077,32.884,103.313,671,FALSE
4,89.01,1,0,MEDIUM,1,FALSE,4,18.28,38.144,32.586,89.00999999999999,1,FALSE
5,89.104,1,0,MEDIUM,1,FALSE,5,18.253,38.234,32.617,89.104,1,FALSE
6,89.361,1,0,MEDIUM,1,FALSE,6,18.181,38.422,32.758,89.36099999999999,1,FALSE
7,89.024,1,0,MEDIUM,1,FALSE,7,18.094,38.34,32.59,89.024,1,FALSE
8,88.86,1,0,MEDIUM,1,FALSE,8,18.085,38.175,32.6,88.86,1,FALSE
9,89.007,1,0,MEDIUM,1,FALSE,9,18.111,38.26,32.636,89.007,1,FALSE
10,89.244,1,0,MEDIUM,1,FALSE,10,18.158,38.38,32.706,89.244,1,FALSE
11,89.128,1,0,MEDIUM,1,FALSE,11,18.06,38.418,32.65,89.12799999999999,1,FALSE
12,89.084,1,0,MEDIUM,1,FALSE,12,18.079,38.368,32.637,89.084,1,FALSE
13,89.272,1,0,MEDIUM,1,FALSE,13,17.957,38.52,32.795,89.272,1,FALSE
14,89.039,1,0,MEDIUM,1,FALSE,14,18.016,38.434,32.589,89.03899999999999,1,FALSE
15,89.07,1,0,MEDIUM,1,FALSE,15,18.002,38.456,32.612,89.07,1,FALSE
16,88.951,1,0,MEDIUM,1,FALSE,16,17.965,38.463,32.523,88.951,1,FALSE
17,88.955,1,0,MEDIUM,1,FALSE,17,18.002,38.429,32.524,88.955,1,FALSE
18,89.222,1,0,MEDIUM,1,FALSE,18,17.95,38.497,32.775,89.22200000000001,1,FALSE
19,89.139,1,0,MEDIUM,1,FALSE,19,17.983,38.496,32.66,89.139,1,FALSE
20,89.213,1,0,MEDIUM,1,FALSE,20,17.954,38.577,32.682,89.213,1,FALSE
21,89.133,1,0,MEDIUM,1,FALSE,21,17.928,38.495,32.71,89.13300000000001,1,FALSE
22,89.189,1,0,MEDIUM,1,FALSE,22,17.973,38.539,32.677,89.189,1,FALSE
23,89.262,1,0,MEDIUM,1,FALSE,23,17.982,38.491,32.789,89.262,1,FALSE
24,89.484,1,0,MEDIUM,1,FALSE,24,17.939,38.683,32.862,89.48400000000001,1,FALSE
25,89.21,1,0,MEDIUM,1,FALSE,25,17.968,38.535,32.707,89.21000000000001,1,FALSE
26,91.567,1,0,MEDIUM,1,FALSE,26,17.916,38.661,34.99,91.56700000000001,1,FALSE
27,107.513,1,0,HARD,2,TRUE,1,37.448,37.969,32.096,107.513,1,FALSE
28,88.325,1,0,HARD,2,FALSE,2,18.044,37.922,32.359,88.32499999999999,1,FALSE
29,88.439,1,0,HARD,2,FALSE,3,18.038,38.101,32.3,88.439,1,FALSE
30,88.235,1,0,HARD,2,FALSE,4,17.995,38.023,32.217,88.235,1,FALSE
31,88.362,1,0,HARD,2,FALSE,5,17.927,38.067,32.368,88.362,12,FALSE
32,88.414,1,0,HARD,2,FALSE,6,17.922,38.241,32.251,88.41399999999999,1,FALSE
33,88.126,1,0,HARD,2,FALSE,7,17.948,37.996,32.182,88.126,1,FALSE
34,88.108,1,0,HARD,2,FALSE,8,17.9,38.022,32.186,88.108,1,FALSE
35,87.974,1,0,HARD,2,FALSE,9,17.896,37.966,32.112,87.974,1,FALSE
36,87.875,1,0,HARD,2,FALSE,10,17.819,37.948,32.108,87.875,1,FALSE
37,88.076,1,0,HARD,2,FALSE,11,17.896,38.06,32.12,88.076,1,FALSE
38,87.907,1,0,HARD,2,FALSE,12,17.873,37.953,32.081,87.90700000000001,1,FALSE
39,87.76,1,0,HARD,2,FALSE,13,17.774,37.979,32.007,87.75999999999999,1,FALSE
40,87.707,1,0,HARD,2,FALSE,14,17.844,37.877,31.986,87.70700000000001,1,FALSE
41,87.857,1,0,HARD,2,FALSE,15,17.776,38.044,32.037,87.857,1,FALSE
42,88.162,1,0,HARD,2,FALSE,16,17.917,38.102,32.143,88.162,1,FALSE
43,88.002,1,0,HARD,2,FALSE,17,17.78,38.005,32.217,88.00200000000001,1,FALSE
44,87.962,1,0,HARD,2,FALSE,18,17.759,38.101,32.102,87.96199999999999,1,FALSE
45,88.055,1,0,HARD,2,FALSE,19,17.67,38.065,32.32,88.055,1,FALSE
46,88.078,1,0,HARD,2,FALSE,20,17.721,37.902,32.455,88.078,1,FALSE
47,88.237,1,0,HARD,2,FALSE,21,17.822,38.015,32.4,88.237,1,FALSE
48,88.205,1,0,HARD,2,FALSE,22,17.734,37.993,32.478,88.20500000000001,1,FALSE
49,88.371,1,0,HARD,2,FALSE,23,17.72,38.054,32.597,88.37100000000001,1,FALSE
50,88.128,1,0,HARD,2,FALSE,24,17.76,37.892,32.476,88.128,1,FALSE
51,87.867,1,0,HARD,2,FALSE,25,17.699,38.072,32.096,87.86699999999999,1,FALSE
52,87.438,1,0,HARD,2,FALSE,26,17.581,37.944,31.913,87.438,1,TRUE
53,87.52,1,0,HARD,2,FALSE,27,17.61,37.828,32.082,87.52000000000001,1,FALSE
54,88.124,1,0,HARD,2,FALSE,28,17.591,37.872,32.661,88.124,1,FALSE
55,87.647,1,0,HARD,2,FALSE,29,17.662,37.925,32.06,87.64699999999999,1,FALSE
56,87.698,1,0,HARD,2,FALSE,30,17.599,37.985,32.114,87.69800000000001,1,FALSE
57,87.929,1,0,HARD,2,FALSE,31,17.586,37.999,32.344,87.929,1,FALSE
58,89.858,1,0,HARD,2,FALSE,32,17.513,39.702,32.643,89.858,12,FALSE
