# Generated: 2025-12-17T03:43:58.226Z
# Source page: https://tracinginsights.com/
# Event: Miami Grand Prix
# Session: Race
# Year: 2024
# Notes: Values are in SI units unless specified. Missing fields are empty.
# Status legend:
#   1 = Track Clear - Normal racing conditions
#   2 = Yellow Flag - Caution period, no overtaking in affected sector
#   4 = Safety Car - All cars follow safety car
#   5 = Red Flag - Session stopped, return to pits
#   6 = Virtual Safety Car - Maintain minimum lap time
#   7 = VSC Ending - Normal racing about to resume
# Options: fuelCorrection=off, includeAllColumns=on
# Drivers: NOR
LAP,NOR_TIME,NOR_POSITION,NOR_POSITION_CHANGE,NOR_COMPOUND,NOR_STINT,NOR_PITSTOP,NOR_TIRE_LIFE,NOR_S1,NOR_S2,NOR_S3,NOR_SECTOR_SUM,NOR_STATUS,NOR_PERSONAL_BEST
Lap number in the session,Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap)
1,98.919,6,,MEDIUM,1,FALSE,1,,36.048,26.092,,1,FALSE
2,94.199,6,0,MEDIUM,1,FALSE,2,32.214,35.711,26.274,94.199,1,FALSE
3,93.687,6,0,MEDIUM,1,FALSE,3,31.766,35.697,26.224,93.687,1,FALSE
4,93.674,6,0,MEDIUM,1,FALSE,4,31.834,35.786,26.054,93.674,1,FALSE
5,93.26,6,0,MEDIUM,1,FALSE,5,31.583,35.645,26.032,93.26,1,FALSE
6,93.172,6,0,MEDIUM,1,FALSE,6,31.622,35.555,25.995,93.172,1,FALSE
7,93.165,6,0,MEDIUM,1,FALSE,7,31.65,35.508,26.007,93.165,1,FALSE
8,92.999,6,0,MEDIUM,1,FALSE,8,31.604,35.428,25.967,92.999,1,FALSE
9,93.429,6,0,MEDIUM,1,FALSE,9,31.724,35.615,26.09,93.429,1,FALSE
