# Generated: 2025-12-17T03:44:32.755Z
# Source page: https://tracinginsights.com/
# Event: Singapore Grand Prix
# Session: Race
# Year: 2024
# Notes: Values are in SI units unless specified. Missing fields are empty.
# Status legend:
#   1 = Track Clear - Normal racing conditions
#   2 = Yellow Flag - Caution period, no overtaking in affected sector
#   4 = Safety Car - All cars follow safety car
#   5 = Red Flag - Session stopped, return to pits
#   6 = Virtual Safety Car - Maintain minimum lap time
#   7 = VSC Ending - Normal racing about to resume
# Options: fuelCorrection=off, includeAllColumns=on
# Drivers: NOR
LAP,NOR_TIME,NOR_POSITION,NOR_POSITION_CHANGE,NOR_COMPOUND,NOR_STINT,NOR_PITSTOP,NOR_TIRE_LIFE,NOR_S1,NOR_S2,NOR_S3,NOR_SECTOR_SUM,NOR_STATUS,NOR_PERSONAL_BEST
Lap number in the session,Lap time in seconds,Race position,Position change from previous lap (positive = gained positions),Tire compound used (SOFT/MEDIUM/HARD/INTERMEDIATE/WET),Stint number (continuous running on same tire set),Pitstop indicator (TRUE if driver pitted at start of this lap),Tire age in laps,Sector 1 time in seconds,Sector 2 time in seconds,Sector 3 time in seconds,Sum of sector times (S1+S2+S3) in seconds,"Track status code (1=Clear, 2=Yellow, 4=Safety Car, 5=Red Flag, 6=VSC, 7=VSC Ending)",Personal best lap indicator (TRUE if this is driver's fastest lap)
1,100.424,1,,MEDIUM,1,FALSE,1,,41.379,27.852,,1,FALSE
2,98.48,1,0,MEDIUM,1,FALSE,2,29.268,41.412,27.8,98.48,1,FALSE
3,98.406,1,0,MEDIUM,1,FALSE,3,29.354,41.262,27.79,98.406,1,FALSE
4,98.446,1,0,MEDIUM,1,FALSE,4,29.399,41.305,27.742,98.44600000000001,1,FALSE
5,97.938,1,0,MEDIUM,1,FALSE,5,29.034,41.159,27.745,97.938,1,FALSE
6,97.843,1,0,MEDIUM,1,FALSE,6,29.15,41.224,27.469,97.84299999999999,1,FALSE
7,97.621,1,0,MEDIUM,1,FALSE,7,29.048,41.128,27.445,97.62100000000001,1,FALSE
8,97.082,1,0,MEDIUM,1,FALSE,8,28.919,40.798,27.365,97.082,1,FALSE
9,96.715,1,0,MEDIUM,1,FALSE,9,28.781,40.658,27.276,96.71499999999999,1,FALSE
10,96.83,1,0,MEDIUM,1,FALSE,10,28.727,40.859,27.244,96.83,1,FALSE
11,96.651,1,0,MEDIUM,1,FALSE,11,28.697,40.842,27.112,96.651,1,FALSE
12,96.495,1,0,MEDIUM,1,FALSE,12,28.62,40.879,26.996,96.49499999999999,1,FALSE
13,96.67,1,0,MEDIUM,1,FALSE,13,28.639,40.727,27.304,96.67,1,FALSE
14,96.832,1,0,MEDIUM,1,FALSE,14,28.803,40.825,27.204,96.832,1,FALSE
15,96.758,1,0,MEDIUM,1,FALSE,15,28.747,40.861,27.15,96.75800000000001,1,FALSE
16,96.624,1,0,MEDIUM,1,FALSE,16,28.723,40.93,26.971,96.624,1,FALSE
