title,artist,top_genre,year,bpm,nrgy,dnce,db,live,val,dur,acous,spch,pop,duration_min,pca_1,pca_2,cluster
"Hey, Soul Sister",Train,neo mellow,2010,97,89,67,-4,8,80,217,19,4,83,3.6166666666666663,1.3676383466557422,1.3668873824268293,0
Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,-5,52,64,263,24,23,82,4.383333333333334,1.1966748505563787,-1.000118103759067,3
TiK ToK,Kesha,dance pop,2010,120,84,76,-3,29,71,200,10,14,80,3.333333333333333,2.1060876584876587,0.19503052136477686,0
Bad Romance,Lady Gaga,dance pop,2010,119,92,70,-4,8,71,295,0,4,79,4.916666666666667,1.3047956624715533,-0.025455633094630937,0
Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9,43,221,2,4,78,3.683333333333333,0.5124193996574394,0.4956784394991981,0
Baby,Justin Bieber,canadian pop,2010,65,86,73,-5,11,54,214,4,14,77,3.566666666666667,1.0007051141172434,1.2092217551817799,0
Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,77,3.3833333333333333,1.7817886160718013,1.2588847751506693,0
Secrets,OneRepublic,dance pop,2010,148,76,52,-6,12,38,225,7,4,77,3.75,-0.3984151055613414,-0.555342390110896,2
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,48,-8,12,14,216,74,3,76,3.6,-4.21264850067354,1.2199311046343513,1
Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,73,3.9166666666666665,0.792830124677195,0.9489601815031706,0
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,87,62,-4,6,47,235,3,3,73,3.9166666666666665,0.8097356359662901,-0.04403151614101094,0
Marry You,Bruno Mars,pop,2010,145,83,62,-5,10,48,230,33,4,73,3.8333333333333335,-0.07314313397042328,-0.10168316302011754,0
Cooler Than Me - Single Mix,Mike Posner,dance pop,2010,130,82,77,-5,70,63,213,18,5,73,3.55,1.3899485569653143,-1.1418490847572307,3
Telephone,Lady Gaga,dance pop,2010,122,83,83,-6,11,71,221,1,4,73,3.683333333333333,1.2581209022324051,1.1024535159998443,0
Like A G6,Far East Movement,dance pop,2010,125,84,44,-8,12,78,217,1,45,72,3.6166666666666663,0.40272240413005367,-1.7237149414728226,3
OMG (feat. will.i.am),Usher,atl hip hop,2010,130,75,78,-6,36,33,269,20,3,72,4.483333333333333,-0.34412905173038855,-0.6209993597209643,2
Eenie Meenie,Sean Kingston,dance pop,2010,121,61,72,-4,11,83,202,5,3,71,3.3666666666666667,1.0887208339151777,1.3061788330880593,0
The Time (Dirty Bit),The Black Eyed Peas,dance pop,2010,128,81,82,-8,60,44,308,7,7,70,5.133333333333334,-0.14150764749248773,-1.8081179808998937,3
Alejandro,Lady Gaga,dance pop,2010,99,80,63,-7,36,37,274,0,5,69,4.566666666666666,-0.3922588981705719,-0.9706265438119418,2
Your Love Is My Drug,Kesha,dance pop,2010,120,61,83,-4,9,76,187,1,10,69,3.1166666666666667,1.4272795256233923,1.5004286410982604,0
Meet Me Halfway,The Black Eyed Peas,dance pop,2010,130,63,80,-7,32,40,284,0,7,68,4.733333333333333,-0.4970357247518092,-0.6592885345532751,2
Whataya Want from Me,Adam Lambert,australian pop,2010,186,68,44,-5,6,45,227,1,5,66,3.783333333333333,-0.2773089957640341,-1.4634825282720434,2
Take It Off,Kesha,dance pop,2010,125,68,73,-5,9,74,215,0,3,66,3.583333333333333,0.9090447883258133,0.9073983809667794,0
Misery,Maroon 5,pop,2010,103,81,70,-5,22,73,216,0,4,65,3.6,1.2926431684417805,0.44701006768790696,0
